pokemon_id,name,pokedex_number,generation,level,type_1,type_2,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,level70_hp,level70_attack,level70_defense,level70_sp_attack,level70_sp_defense,level70_speed,ability_1,ability_2,hidden_ability,source,source_url,gen1_stat_level,gen1_dv_hp,gen1_dv_attack,gen1_dv_defense,gen1_dv_speed,gen1_dv_special,gen1_statexp_hp,gen1_statexp_attack,gen1_statexp_defense,gen1_statexp_speed,gen1_statexp_special,base_special,level70_special,stat_assumption,gen1_crit_threshold,gen1_crit_probability,gen1_high_crit_threshold,gen1_high_crit_probability
1,Bulbasaur,1,1,70,Grass,Poison,45,49,49,65,65,45,207,138,138,160,160,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
57,Primeape,57,1,70,Fighting,,65,105,60,60,60,95,235,216,153,153,153,202,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,47,0.18359375,255,0.99609375
58,Growlithe,58,1,70,Fire,,55,70,45,50,50,60,221,167,132,139,139,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
59,Arcanine,59,1,70,Fire,,90,110,80,80,80,95,270,223,181,181,181,202,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,47,0.18359375,255,0.99609375
60,Poliwag,60,1,70,Water,,40,50,40,40,40,90,200,139,125,125,125,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
61,Poliwhirl,61,1,70,Water,,65,65,65,50,50,90,235,160,160,139,139,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
62,Poliwrath,62,1,70,Water,Fighting,90,85,95,70,70,70,270,188,202,167,167,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,70,167,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
63,Abra,63,1,70,Psychic,,25,20,15,105,105,90,179,97,90,216,216,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,105,216,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
64,Kadabra,64,1,70,Psychic,,40,35,30,120,120,105,200,118,111,237,237,216,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,120,237,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,52,0.203125,255,0.99609375
65,Alakazam,65,1,70,Psychic,,55,50,45,135,135,120,221,139,132,258,258,237,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,135,258,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,60,0.234375,255,0.99609375
66,Machop,66,1,70,Fighting,,70,80,50,35,35,35,242,181,139,118,118,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
67,Machoke,67,1,70,Fighting,,80,100,70,50,50,45,256,209,167,139,139,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
68,Machamp,68,1,70,Fighting,,90,130,80,65,65,55,270,251,181,160,160,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
69,Bellsprout,69,1,70,Grass,Poison,50,75,35,70,70,40,214,174,118,167,167,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,70,167,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
70,Weepinbell,70,1,70,Grass,Poison,65,90,50,85,85,55,235,195,139,188,188,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
71,Victreebel,71,1,70,Grass,Poison,80,105,65,100,100,70,256,216,160,209,209,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
72,Tentacool,72,1,70,Water,Poison,40,40,35,100,100,70,200,125,118,209,209,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
73,Tentacruel,73,1,70,Water,Poison,80,70,65,120,120,100,256,167,160,237,237,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,120,237,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
74,Geodude,74,1,70,Rock,Ground,40,80,100,30,30,20,200,181,209,111,111,97,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,30,111,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,10,0.0390625,80,0.3125
75,Graveler,75,1,70,Rock,Ground,55,95,115,45,45,35,221,202,230,132,132,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,45,132,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
76,Golem,76,1,70,Rock,Ground,80,110,130,55,55,45,256,223,251,146,146,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
77,Ponyta,77,1,70,Fire,,50,85,55,65,65,90,214,188,146,160,160,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
78,Rapidash,78,1,70,Fire,,65,100,70,80,80,105,235,209,167,181,181,216,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,52,0.203125,255,0.99609375
79,Slowpoke,79,1,70,Water,Psychic,90,65,65,40,40,15,270,160,160,125,125,90,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,7,0.02734375,56,0.21875
80,Slowbro,80,1,70,Water,Psychic,95,75,110,80,80,30,277,174,223,181,181,111,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,15,0.05859375,120,0.46875
81,Magnemite,81,1,70,Electric,,25,35,70,95,95,45,179,118,167,202,202,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,95,202,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
82,Magneton,82,1,70,Electric,,50,60,95,120,120,70,214,153,202,237,237,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,120,237,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
83,Farfetchd,83,1,70,Normal,Flying,52,65,55,58,58,60,217,160,146,150,150,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,58,150,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
84,Doduo,84,1,70,Normal,Flying,35,85,45,35,35,75,193,188,132,118,118,174,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,37,0.14453125,255,0.99609375
85,Dodrio,85,1,70,Normal,Flying,60,110,70,60,60,100,228,223,167,153,153,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
86,Seel,86,1,70,Water,,65,45,55,70,70,45,235,132,146,167,167,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,70,167,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
87,Dewgong,87,1,70,Water,Ice,90,70,80,95,95,70,270,167,181,202,202,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,95,202,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
88,Grimer,88,1,70,Poison,,80,80,50,40,40,25,256,181,139,125,125,104,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,12,0.046875,96,0.375
89,Muk,89,1,70,Poison,,105,105,75,65,65,50,291,216,174,160,160,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
90,Shellder,90,1,70,Water,,30,65,100,45,45,40,186,160,209,132,132,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,45,132,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
91,Cloyster,91,1,70,Water,Ice,50,95,180,85,85,70,214,202,321,188,188,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
92,Gastly,92,1,70,Ghost,Poison,30,35,30,100,100,80,186,118,111,209,209,181,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,40,0.15625,255,0.99609375
93,Haunter,93,1,70,Ghost,Poison,45,50,45,115,115,95,207,139,132,230,230,202,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,115,230,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,47,0.18359375,255,0.99609375
94,Gengar,94,1,70,Ghost,Poison,60,65,60,130,130,110,228,160,153,251,251,223,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,130,251,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,55,0.21484375,255,0.99609375
95,Onix,95,1,70,Rock,Ground,35,45,160,30,30,70,193,132,293,111,111,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,30,111,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
96,Drowzee,96,1,70,Psychic,,60,48,45,90,90,42,228,136,132,195,195,128,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,90,195,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,21,0.08203125,168,0.65625
97,Hypno,97,1,70,Psychic,,85,73,70,115,115,67,263,171,167,230,230,163,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,115,230,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,33,0.12890625,255,0.99609375
98,Krabby,98,1,70,Water,,30,105,90,25,25,50,186,216,195,104,104,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,25,104,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
99,Kingler,99,1,70,Water,,55,130,115,50,50,75,221,251,230,139,139,174,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,37,0.14453125,255,0.99609375
100,Voltorb,100,1,70,Electric,,40,30,50,55,55,100,200,111,139,146,146,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
101,Electrode,101,1,70,Electric,,60,50,70,80,80,140,228,139,167,181,181,265,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,70,0.2734375,255,0.99609375
102,Exeggcute,102,1,70,Grass,Psychic,60,40,80,60,60,40,228,125,181,153,153,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
103,Exeggutor,103,1,70,Grass,Psychic,95,95,85,125,125,55,277,202,188,244,244,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,125,244,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
104,Cubone,104,1,70,Ground,,50,50,95,40,40,35,214,139,202,125,125,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
105,Marowak,105,1,70,Ground,,60,80,110,50,50,45,228,181,223,139,139,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
106,Hitmonlee,106,1,70,Fighting,,50,120,53,35,35,87,214,237,143,118,118,191,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,43,0.16796875,255,0.99609375
107,Hitmonchan,107,1,70,Fighting,,50,105,79,35,35,76,214,216,180,118,118,175,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,38,0.1484375,255,0.99609375
108,Lickitung,108,1,70,Normal,,90,55,75,60,60,30,270,146,174,153,153,111,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,15,0.05859375,120,0.46875
109,Koffing,109,1,70,Poison,,40,65,95,60,60,35,200,160,202,153,153,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
110,Weezing,110,1,70,Poison,,65,90,120,85,85,60,235,195,237,188,188,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
111,Rhyhorn,111,1,70,Ground,Rock,80,85,95,30,30,25,256,188,202,111,111,104,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,30,111,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,12,0.046875,96,0.375
112,Rhydon,112,1,70,Ground,Rock,105,130,120,45,45,40,291,251,237,132,132,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,45,132,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
113,Chansey,113,1,70,Normal,,250,5,5,105,105,50,494,76,76,216,216,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,105,216,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
114,Tangela,114,1,70,Grass,,65,55,115,100,100,60,235,146,230,209,209,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
