pokemon_id,name,type_1,type_2,level,level70_hp,level70_attack,level70_defense,level70_special,level70_speed,available_move_count,coverage_types,super_effective_types,weakness_types,immunity_types,stat_assumption
108,Lickitung,Normal,,70,270,146,174,153,111,37,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
109,Koffing,Poison,,70,200,160,202,153,118,19,Electric;Fire;Ice;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
110,Weezing,Poison,,70,235,195,237,188,153,21,Electric;Fire;Ice;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
111,Rhyhorn,Ground,Rock,70,256,188,202,111,104,27,Electric;Fire;Ground;Normal;Poison;Psychic;Rock,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
112,Rhydon,Ground,Rock,70,291,251,237,132,125,42,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
113,Chansey,Normal,,70,494,76,76,216,139,44,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
114,Tangela,Grass,,70,235,146,230,209,153,24,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Poison,Bug;Fire;Flying;Ice;Poison,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
115,Kangaskhan,Normal,,70,291,202,181,125,195,36,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
116,Horsea,Water,,70,186,125,167,167,153,22,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
117,Seadra,Water,,70,221,160,202,202,188,24,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
118,Goldeen,Water,,70,207,163,153,139,157,25,Flying;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
119,Seaking,Water,,70,256,198,160,181,164,27,Flying;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
120,Staryu,Water,,70,186,132,146,167,188,33,Electric;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
121,Starmie,Water,Psychic,70,228,174,188,209,230,29,Electric;Ice;Normal;Poison;Psychic;Water,Bug;Electric;Grass,Bug;Electric;Grass,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
122,Mr. Mime,Psychic,,70,200,132,160,209,195,34,Electric;Fighting;Grass;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
123,Scyther,Bug,Flying,70,242,223,181,146,216,21,Normal;Poison;Psychic,Electric;Fire;Flying;Ice;Poison;Rock,Electric;Fire;Flying;Ice;Poison;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
124,Jynx,Ice,Psychic,70,235,139,118,202,202,34,Fighting;Ghost;Ice;Normal;Poison;Psychic;Water,Bug;Fire;Rock,Bug;Fire;Rock,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
125,Electabuzz,Electric,,70,235,185,149,188,216,35,Electric;Fighting;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
126,Magmar,Fire,,70,235,202,149,188,199,30,Fighting;Fire;Ghost;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
127,Pinsir,Bug,,70,235,244,209,146,188,23,Fighting;Normal;Poison;Psychic,Fire;Flying;Poison;Rock,Fire;Flying;Poison;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
128,Tauros,Normal,,70,249,209,202,167,223,27,Electric;Fire;Ground;Ice;Normal;Poison;Psychic,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
129,Magikarp,Water,,70,172,83,146,97,181,2,Normal,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
130,Gyarados,Water,Flying,70,277,244,180,209,182,32,Dragon;Electric;Fire;Ice;Normal;Poison;Psychic;Water,Electric;Rock,Electric;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
131,Lapras,Water,Ice,70,326,188,181,202,153,34,Dragon;Electric;Ghost;Grass;Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Rock,Electric;Fighting;Grass;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
132,Ditto,Normal,,70,211,136,136,136,136,1,Normal,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
133,Eevee,Normal,,70,221,146,139,160,146,19,Ground;Normal;Poison;Psychic,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
134,Vaporeon,Water,,70,326,160,153,223,160,31,Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
135,Jolteon,Electric,,70,235,160,153,223,251,30,Bug;Electric;Fighting;Ground;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
136,Flareon,Fire,,70,235,251,153,223,160,27,Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
137,Porygon,Normal,,70,235,153,167,174,125,30,Electric;Ice;Normal;Poison;Psychic,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
138,Omanyte,Rock,Water,70,193,125,209,195,118,22,Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Ground,Electric;Fighting;Grass;Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
139,Omastar,Rock,Water,70,242,153,244,230,146,28,Fighting;Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Ground,Electric;Fighting;Grass;Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
140,Kabuto,Rock,Water,70,186,181,195,132,146,22,Grass;Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Ground,Electric;Fighting;Grass;Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
141,Kabutops,Rock,Water,70,228,230,216,167,181,30,Fighting;Grass;Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Ground,Electric;Fighting;Grass;Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
142,Aerodactyl,Rock,Flying,70,256,216,160,153,251,24,Dragon;Fire;Flying;Normal;Poison;Psychic,Electric;Ice;Rock;Water,Electric;Ice;Rock;Water,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
143,Snorlax,Normal,,70,368,223,160,160,111,43,Electric;Fighting;Fire;Grass;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
144,Articuno,Ice,Flying,70,270,188,209,244,188,25,Flying;Ice;Normal;Poison;Psychic;Water,Electric;Fire;Rock,Electric;Fire;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
145,Zapdos,Electric,Flying,70,270,195,188,244,209,25,Electric;Flying;Normal;Poison;Psychic,Ice;Rock,Ice;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
146,Moltres,Fire,Flying,70,270,209,195,244,195,22,Fire;Flying;Normal;Poison;Psychic,Electric;Ice;Rock;Water,Electric;Ice;Rock;Water,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
147,Dratini,Dragon,,70,201,159,132,139,139,30,Dragon;Electric;Fire;Ice;Normal;Poison;Psychic;Water,Dragon;Ice,Dragon;Ice,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
148,Dragonair,Dragon,,70,229,187,160,167,167,32,Dragon;Electric;Fire;Ice;Normal;Poison;Psychic;Water,Dragon;Ice,Dragon;Ice,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
149,Dragonite,Dragon,Flying,70,271,257,202,209,181,36,Dragon;Electric;Fire;Ice;Normal;Poison;Psychic;Water,Dragon;Ice;Rock,Dragon;Ice;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
150,Mewtwo,Psychic,,70,292,223,195,285,251,43,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
151,Mew,Psychic,,70,284,209,209,209,209,60,Dragon;Electric;Fighting;Fire;Flying;Grass;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
